"Name","Count","Chance","Weight","Comment"
,,,,
"2 to 8 time","--","--","--",
"minecraft:coal","1..4","33.3%","10/30",
"minecraft:stone_axe","1","6.7%","2/30",
"minecraft:stone_spear","1","6.7%","2/30",
"minecraft:rotten_flesh","1","16.7%","5/30",
"minecraft:emerald","1","3.3%","1/30",
"minecraft:wheat","2..3","33.3%","10/30",
——,——,——,——,——
"1 time","--","--","--",
"minecraft:leather_chestplate","1","8.3%","1/12",
"minecraft:golden_helmet","1","8.3%","1/12",
"minecraft:fishing_rod","1","41.7%","5/12","enchantments: #on_random_loot"
"minecraft:explorer_map","1","41.7%","5/12","destination: #minecraft:on_treasure_maps"
——,——,——,——,——
"1 time","--","--","--",
"empty",,"80%","148/185",
"minecraft:copper_nautilus_armor","1","10.8%","20/185",
"minecraft:iron_nautilus_armor","1","5.4%","10/185",
"minecraft:golden_nautilus_armor","1","2.7%","5/185",
"minecraft:diamond_nautilus_armor","1","1.1%","2/185",
