minecraft:angler_pottery_sherd  = minecraft:angler
minecraft:archer_pottery_sherd  = minecraft:archer
minecraft:arms_up_pottery_sherd  = minecraft:arms_up
minecraft:blade_pottery_sherd  = minecraft:blade
minecraft:brewer_pottery_sherd  = minecraft:brewer
minecraft:burn_pottery_sherd  = minecraft:burn
minecraft:danger_pottery_sherd  = minecraft:danger
minecraft:explorer_pottery_sherd  = minecraft:explorer
minecraft:flow_pottery_sherd  = minecraft:flow
minecraft:friend_pottery_sherd  = minecraft:friend
minecraft:guster_pottery_sherd  = minecraft:guster
minecraft:heart_pottery_sherd  = minecraft:heart
minecraft:heartbreak_pottery_sherd  = minecraft:heartbreak
minecraft:howl_pottery_sherd  = minecraft:howl
minecraft:miner_pottery_sherd  = minecraft:miner
minecraft:mourner_pottery_sherd  = minecraft:mourner
minecraft:plenty_pottery_sherd  = minecraft:plenty
minecraft:prize_pottery_sherd  = minecraft:prize
minecraft:scrape_pottery_sherd  = minecraft:scrape
minecraft:sheaf_pottery_sherd  = minecraft:sheaf
minecraft:shelter_pottery_sherd  = minecraft:shelter
minecraft:skull_pottery_sherd  = minecraft:skull
minecraft:snort_pottery_sherd  = minecraft:snort
