"Name","Count","Chance","Weight","Comment"
,,,,
"1 to 3 time","--","--","--",
"minecraft:lead","1","18.7%","20/107",
"minecraft:golden_apple","1","14%","15/107",
"minecraft:enchanted_golden_apple","1","1.9%","2/107",
"minecraft:music_disc_13","1","14%","15/107",
"minecraft:music_disc_cat","1","14%","15/107",
"minecraft:chainmail_chestplate","1","9.3%","10/107",
"minecraft:diamond_hoe","1","14%","15/107",
"minecraft:diamond_chestplate","1","4.7%","5/107",
"minecraft:enchanted_book","1","9.3%","10/107","enchantments: #on_random_loot"
——,——,——,——,——
"1 to 4 time","--","--","--",
"minecraft:iron_ingot","1..4","5.7%","10/175",
"minecraft:gold_ingot","1..4","2.9%","5/175",
"minecraft:bread","1","11.4%","20/175",
"minecraft:wheat","1..4","11.4%","20/175",
"minecraft:bucket","1","5.7%","10/175",
"minecraft:redstone","1..4","8.6%","15/175",
"minecraft:coal","1..4","8.6%","15/175",
"minecraft:melon_seeds","2..4","5.7%","10/175",
"minecraft:pumpkin_seeds","2..4","5.7%","10/175",
"minecraft:beetroot_seeds","2..4","5.7%","10/175",
"minecraft:resin_clump","2..4","28.6%","50/175",
——,——,——,——,——
"3 time","--","--","--",
"minecraft:bone","1..8","25%","10/40",
"minecraft:gunpowder","1..8","25%","10/40",
"minecraft:rotten_flesh","1..8","25%","10/40",
"minecraft:string","1..8","25%","10/40",
——,——,——,——,——
"1 time","--","--","--",
"empty",,"50%","1/2",
"minecraft:vex_armor_trim_smithing_template","1","50%","1/2",
