"Name","Count","Chance","Comment"
,,,
"1 time","--","--",
"minecraft:stone_axe","1","25%",
"minecraft:wooden_axe","1","75%",
,,,
"1 time","--","--",
"minecraft:stone_pickaxe","1","25%",
"minecraft:wooden_pickaxe","1","75%",
,,,
"3 time","--","--",
"minecraft:apple","1..2","45.5%",
"minecraft:bread","1..2","27.3%",
"minecraft:fish","1..2","27.3%",
,,,
"4 time","--","--",
"minecraft:stick","1..12","25%",
"minecraft:planks","1..12","25%",
"minecraft:log","1..3","25%",
"minecraft:log2","1..3","25%",
