"Name","Count","Chance","Comment"
,,,
"3 to 10 time","--","--",
"minecraft:paper","1..12","12.3%",
"minecraft:potato","2..6","10.8%",
"minecraft:poisonous_potato","2..6","10.8%",
"minecraft:carrot","4..8","10.8%",
"minecraft:wheat","8..21","10.8%",
"minecraft:coal","2..8","9.2%",
"minecraft:rotten_flesh","5..24","7.7%",
"minecraft:pumpkin","1..3","3.1%",
"minecraft:gunpowder","1..5","4.6%",
"minecraft:tnt","1..2","1.5%",
"minecraft:leather_helmet","1","4.6%",
"minecraft:leather_chestplate","1","4.6%",
"minecraft:leather_leggings","1","4.6%",
"minecraft:leather_boots","1","4.6%",
