"Name","Count","Chance","Comment"
,,,
"2 to 4 time","--","--",
"minecraft:diamond","1..3","2.2%",
"minecraft:iron_ingot","1..5","6.5%",
"minecraft:gold_ingot","2..7","6.5%",
"minecraft:emerald","1..3","6.5%",
"minecraft:bone","4..6","10.8%",
"minecraft:spider_eye","1..3","10.8%",
"minecraft:rotten_flesh","3..7","10.8%",
"minecraft:saddle","1","8.6%",
"minecraft:iron_horse_armor","1","6.5%",
"minecraft:golden_horse_armor","1","4.3%",
"minecraft:diamond_horse_armor","1","2.2%",
"minecraft:enchanted_book","1","8.6%",
"minecraft:golden_apple","1","8.6%",
"minecraft:enchanted_golden_apple","1","0.86%",
"empty",,"6.5%",
,,,
"4 time","--","--",
"minecraft:bone","1..8","20%",
"minecraft:gunpowder","1..8","20%",
"minecraft:rotten_flesh","1..8","20%",
"minecraft:string","1..8","20%",
"minecraft:sand","1..8","20%",
