"Name","Count","Chance","Comment"
,,,
"1 time","--","--",
"minecraft:enchanted_book","1","1.2%",
"minecraft:iron_boots","1","1.9%",
"minecraft:potion","1","2.4%",
"minecraft:splash_potion","1","2.4%",
"minecraft:iron_nugget","9..36","2.4%",
"minecraft:quartz","8..16","4.7%",
"minecraft:glowstone_dust","5..12","4.7%",
"minecraft:magma_cream","2..6","4.7%",
"minecraft:ender_pearl","4..8","4.7%",
"minecraft:string","8..24","4.7%",
"minecraft:fire_charge","1..5","9.5%",
"minecraft:gravel","8..16","9.5%",
"minecraft:leather","4..10","9.5%",
"minecraft:nether_brick","4..16","9.5%",
"minecraft:obsidian","1","9.5%",
"minecraft:crying_obsidian","1..3","9.5%",
"minecraft:soul_sand","4..16","9.5%",
