"Name","Count","Chance","Comment"
,,,
"1 time","--","--",
"minecraft:netherite_shovel","1","13.3%",
"minecraft:netherite_scrap","1","13.3%",
"minecraft:ancient_debris","1","13.3%",
"minecraft:saddle","1","20%",
"minecraft:gold_block","2..4","13.3%",
"minecraft:golden_hoe","1","13.3%",
"empty",,"13.3%",
,,,
"3 to 4 time","--","--",
"minecraft:glowstone","1..5","8.3%",
"minecraft:gilded_blackstone","1..5","8.3%",
"minecraft:soul_sand","2..7","8.3%",
"minecraft:crimson_nylium","2..7","8.3%",
"minecraft:gold_nugget","2..8","8.3%",
"minecraft:leather","1..3","8.3%",
"minecraft:arrow","5..17","8.3%",
"minecraft:string","3..8","8.3%",
"minecraft:porkchop","2..5","8.3%",
"minecraft:cooked_porkchop","2..5","8.3%",
"minecraft:crimson_fungus","2..7","8.3%",
"minecraft:crimson_roots","2..7","8.3%",
