"Name","Count","Chance","Comment"
,,,
"1 time","--","--",
"minecraft:crossbow","1","16.7%",
"minecraft:ancient_debris","1","8.3%",
"minecraft:netherite_scrap","1","8.3%",
"minecraft:spectral_arrow","5..20","16.7%",
"minecraft:piglin_banner_pattern","1","16.7%",
"minecraft:music_disc_pigstep","1","16.7%",
"empty",,"16.7%",
,,,
"2 time","--","--",
"minecraft:enchanted_book","1","7.7%",
"minecraft:golden_boots","1","7.7%",
"minecraft:gold_block","1","7.7%",
"minecraft:crossbow","1","7.7%",
"minecraft:gold_ingot","1..6","7.7%",
"minecraft:iron_ingot","1..6","7.7%",
"minecraft:golden_sword","1","7.7%",
"minecraft:golden_chestplate","1","7.7%",
"minecraft:golden_helmet","1","7.7%",
"minecraft:golden_leggings","1","7.7%",
"minecraft:golden_boots","1","7.7%",
"empty",,"15.4%",
,,,
"3 to 5 time","--","--",
"minecraft:crying_obsidian","1..5","9.1%",
"minecraft:gilded_blackstone","1..5","9.1%",
"minecraft:chain","2..10","9.1%",
"minecraft:magma_cream","2..6","9.1%",
"minecraft:bone_block","3..6","9.1%",
"minecraft:iron_nugget","2..8","9.1%",
"minecraft:obsidian","4..6","9.1%",
"minecraft:gold_nugget","2..8","9.1%",
"minecraft:string","4..6","9.1%",
"minecraft:arrow","5..17","18.2%",
