"Name","Count","Chance","Comment"
,,,
"1 time","--","--",
"minecraft:lodestone","1","100%",
,,,
"1 to 2 time","--","--",
"minecraft:crossbow","1","8.3%",
"minecraft:spectral_arrow","2..12","8.3%",
"minecraft:gilded_blackstone","5..8","8.3%",
"minecraft:crying_obsidian","3..8","8.3%",
"minecraft:gold_block","1","8.3%",
"minecraft:gold_ingot","2..8","8.3%",
"minecraft:iron_ingot","2..8","8.3%",
"minecraft:golden_sword","1","8.3%",
"minecraft:golden_chestplate","1","8.3%",
"minecraft:golden_helmet","1","8.3%",
"minecraft:golden_leggings","1","8.3%",
"minecraft:golden_boots","1","8.3%",
,,,
"2 to 4 time","--","--",
"minecraft:string","1..6","20%",
"minecraft:leather","1..3","20%",
"minecraft:arrow","5..17","20%",
"minecraft:iron_nugget","2..6","20%",
"minecraft:gold_nugget","2..6","20%",
