"Name","Count","Chance","Comment"
,,,
"0 to 1 time","--","--",
"minecraft:crossbow","1","100%",
,,,
"2 to 3 time","--","--",
"minecraft:wheat","3..5","41.2%",
"minecraft:potato","2..5","29.4%",
"minecraft:carrot","3..5","29.4%",
,,,
"1 to 3 time","--","--",
"minecraft:dark_oak_log","2..3","100%",
,,,
"2 to 3 time","--","--",
"minecraft:experience_bottle","1","31.8%",
"minecraft:string","1..6","18.2%",
"minecraft:arrow","2..7","18.2%",
"minecraft:tripwire_hook","1..3","13.6%",
"minecraft:iron_ingot","1..3","13.6%",
"minecraft:enchanted_book","1","4.5%",
,,,
"0 to 1 time","--","--",
"minecraft:goat_horn","1","100%",
