"Name","Count","Chance","Comment"
,,,
"5 to 10 time","--","--",
"minecraft:enchanted_golden_apple","1..2","1.2%",
"minecraft:music_disc_otherside","1","1.2%",
"minecraft:compass","1","2.3%",
"minecraft:sculk_catalyst","1..2","2.3%",
"minecraft:name_tag","1","2.3%",
"minecraft:diamond_hoe","1","2.3%",
"minecraft:lead","1","2.3%",
"minecraft:diamond_horse_armor","1","2.3%",
"minecraft:saddle","1","2.3%",
"minecraft:music_disc_13","1","2.3%",
"minecraft:music_disc_cat","1","2.3%",
"minecraft:diamond_leggings","1","2.3%",
"minecraft:enchanted_book","1","3.5%",
"minecraft:sculk","4..10","3.5%",
"minecraft:sculk_sensor","1..3","3.5%",
"minecraft:candle","1..4","3.5%",
"minecraft:amethyst_shard","1..15","3.5%",
"minecraft:experience_bottle","1..3","3.5%",
"minecraft:glow_berries","1..15","3.5%",
"minecraft:iron_leggings","1","3.5%",
"minecraft:echo_shard","1..3","4.7%",
"minecraft:disc_fragment_5","1..3","4.7%",
"minecraft:potion","1..3","5.8%",
"minecraft:enchanted_book","1","5.8%",
"minecraft:book","3..10","5.8%",
"minecraft:bone","1..15","5.8%",
"minecraft:soul_torch","1..15","5.8%",
"minecraft:coal","6..15","8.1%",
