"Name","Count","Chance","Comment"
,,,
"1 time","--","--",
"minecraft:heart_of_the_sea","1","100%",
,,,
"5 to 8 time","--","--",
"minecraft:iron_ingot","1..4","57.1%",
"minecraft:gold_ingot","1..4","28.6%",
"minecraft:tnt","1..2","14.3%",
,,,
"1 to 3 time","--","--",
"minecraft:emerald","4..8","33.3%",
"minecraft:diamond","1..2","33.3%",
"minecraft:prismarine_crystals","1..5","33.3%",
,,,
"0 to 1 time","--","--",
"minecraft:leather_chestplate","1","50%",
"minecraft:iron_sword","1","50%",
,,,
"2 time","--","--",
"minecraft:cooked_cod","2..4","50%",
"minecraft:cooked_salmon","2..4","50%",
,,,
"0 to 2 time","--","--",
"minecraft:potion","1","100%",
