"Name","Count","Chance","Comment"
,,,
"1 time","--","--",
"minecraft:burn_pottery_sherd","1","9.1%",
"minecraft:danger_pottery_sherd","1","9.1%",
"minecraft:friend_pottery_sherd","1","9.1%",
"minecraft:heart_pottery_sherd","1","9.1%",
"minecraft:heartbreak_pottery_sherd","1","9.1%",
"minecraft:howl_pottery_sherd","1","9.1%",
"minecraft:sheaf_pottery_sherd","1","9.1%",
"minecraft:wayfinder_armor_trim_smithing_template","1","9.1%",
"minecraft:raiser_armor_trim_smithing_template","1","9.1%",
"minecraft:shaper_armor_trim_smithing_template","1","9.1%",
"minecraft:host_armor_trim_smithing_template","1","9.1%",
