"Name","Count","Chance","Comment"
,,,
"3 to 5 time","--","--",
"minecraft:arrow","4..14","11.1%",
"minecraft:tipped_arrow","4..8","5.6%",
"minecraft:tipped_arrow","4..8","5.6%",
"minecraft:baked_potato","2..4","11.1%",
"minecraft:glow_berries","2..10","11.1%",
"minecraft:acacia_planks","3..6","5.6%",
"minecraft:moss_block","2..5","5.6%",
"minecraft:bone_meal","2..5","5.6%",
"minecraft:tuff","5..10","5.6%",
"minecraft:torch","3..6","5.6%",
"minecraft:potion","2","5.6%",
"minecraft:potion","2","5.6%",
"minecraft:stone_pickaxe","1","11.1%",
"minecraft:milk_bucket","1","5.6%",
