minecraft:acacia_stairs  = minecraft:acacia_planks
minecraft:andesite_stairs  = minecraft:andesite
minecraft:bamboo_mosaic_stairs  = minecraft:bamboo_mosaic
minecraft:bamboo_stairs  = minecraft:bamboo_planks
minecraft:birch_stairs  = minecraft:birch_planks
minecraft:black_wool_stairs  = minecraft:black_wool
minecraft:blackstone_stairs  = minecraft:blackstone
minecraft:blue_wool_stairs  = minecraft:blue_wool
minecraft:brick_stairs  = minecraft:bricks
minecraft:brown_wool_stairs  = minecraft:brown_wool
minecraft:cherry_stairs  = minecraft:cherry_planks
minecraft:cinnabar_brick_stairs  = minecraft:cinnabar_bricks
minecraft:cinnabar_stairs  = minecraft:cinnabar
minecraft:cobbled_deepslate_stairs  = minecraft:cobbled_deepslate
minecraft:cobblestone_stairs  = minecraft:cobblestone
minecraft:crimson_stairs  = minecraft:crimson_planks
minecraft:cut_copper_stairs  = minecraft:cut_copper
minecraft:cyan_wool_stairs  = minecraft:cyan_wool
minecraft:dark_oak_stairs  = minecraft:dark_oak_planks
minecraft:dark_prismarine_stairs  = minecraft:dark_prismarine
minecraft:deepslate_brick_stairs  = minecraft:deepslate_bricks
minecraft:deepslate_tile_stairs  = minecraft:deepslate_tiles
minecraft:diorite_stairs  = minecraft:diorite
minecraft:end_stone_brick_stairs  = minecraft:end_stone_bricks
minecraft:exposed_cut_copper_stairs  = minecraft:exposed_cut_copper
minecraft:granite_stairs  = minecraft:granite
minecraft:gray_wool_stairs  = minecraft:gray_wool
minecraft:green_wool_stairs  = minecraft:green_wool
minecraft:jungle_stairs  = minecraft:jungle_planks
minecraft:light_blue_wool_stairs  = minecraft:light_blue_wool
minecraft:light_gray_wool_stairs  = minecraft:light_gray_wool
minecraft:lime_wool_stairs  = minecraft:lime_wool
minecraft:magenta_wool_stairs  = minecraft:magenta_wool
minecraft:mangrove_stairs  = minecraft:mangrove_planks
minecraft:mossy_cobblestone_stairs  = minecraft:mossy_cobblestone
minecraft:mossy_stone_brick_stairs  = minecraft:mossy_stone_bricks
minecraft:mud_brick_stairs  = minecraft:mud_bricks
minecraft:nether_brick_stairs  = minecraft:nether_bricks
minecraft:oak_stairs  = minecraft:oak_planks
minecraft:orange_wool_stairs  = minecraft:orange_wool
minecraft:oxidized_cut_copper_stairs  = minecraft:oxidized_cut_copper
minecraft:pale_oak_stairs  = minecraft:pale_oak_planks
minecraft:pink_wool_stairs  = minecraft:pink_wool
minecraft:polished_andesite_stairs  = minecraft:polished_andesite
minecraft:polished_blackstone_brick_stairs  = minecraft:polished_blackstone_bricks
minecraft:polished_blackstone_stairs  = minecraft:polished_blackstone
minecraft:polished_cinnabar_stairs  = minecraft:polished_cinnabar
minecraft:polished_deepslate_stairs  = minecraft:polished_deepslate
minecraft:polished_diorite_stairs  = minecraft:polished_diorite
minecraft:polished_granite_stairs  = minecraft:polished_granite
minecraft:polished_sulfur_stairs  = minecraft:polished_sulfur
minecraft:polished_tuff_stairs  = minecraft:polished_tuff
minecraft:poplar_stairs  = minecraft:poplar_planks
minecraft:prismarine_brick_stairs  = minecraft:prismarine_bricks
minecraft:prismarine_stairs  = minecraft:prismarine
minecraft:purple_wool_stairs  = minecraft:purple_wool
minecraft:purpur_stairs  = minecraft:purpur_block
minecraft:quartz_stairs  = minecraft:quartz_block
minecraft:red_nether_brick_stairs  = minecraft:red_nether_bricks
minecraft:red_sandstone_stairs  = minecraft:red_sandstone
minecraft:red_wool_stairs  = minecraft:red_wool
minecraft:resin_brick_stairs  = minecraft:resin_bricks
minecraft:sandstone_stairs  = minecraft:sandstone
minecraft:smooth_quartz_stairs  = minecraft:smooth_quartz
minecraft:smooth_red_sandstone_stairs  = minecraft:smooth_red_sandstone
minecraft:smooth_sandstone_stairs  = minecraft:smooth_sandstone
minecraft:spruce_stairs  = minecraft:spruce_planks
minecraft:stone_brick_stairs  = minecraft:stone_bricks
minecraft:stone_stairs  = minecraft:stone
minecraft:sulfur_brick_stairs  = minecraft:sulfur_bricks
minecraft:sulfur_stairs  = minecraft:sulfur
minecraft:tuff_brick_stairs  = minecraft:tuff_bricks
minecraft:tuff_stairs  = minecraft:tuff
minecraft:warped_stairs  = minecraft:warped_planks
minecraft:waxed_cut_copper_stairs  = minecraft:waxed_cut_copper
minecraft:waxed_exposed_cut_copper_stairs  = minecraft:waxed_exposed_cut_copper
minecraft:waxed_oxidized_cut_copper_stairs  = minecraft:waxed_oxidized_cut_copper
minecraft:waxed_weathered_cut_copper_stairs  = minecraft:waxed_weathered_cut_copper
minecraft:weathered_cut_copper_stairs  = minecraft:weathered_cut_copper
minecraft:white_wool_stairs  = minecraft:white_wool
minecraft:yellow_wool_stairs  = minecraft:yellow_wool
