"Name","Count","Chance","Weight","Comment"
,,,,
"1 time","--","--","--",
"minecraft:rotten_flesh","0..2","100%","1","add drop: 0..1 * level {enchantment: looting}"
——,——,——,——,——
"1 time","--","--","--",
"minecraft:rabbit_foot","0..1","100%","1","add drop: 0..1 * level {enchantment: looting}, is riding a camel_husk"
——,——,——,——,——
"1 time","--","--","--","killed by player, random chance: 0.025%|{enchantment: looting}: 0.035% + 0.01%*(level-1)"
"minecraft:iron_ingot","1","33.3%","1/3",
"minecraft:carrot","1","33.3%","1/3",
"minecraft:potato","1","33.3%","1/3","furnace smelt"
