"Name","Count","Chance","Comment"
,,,
"2 to 4 time","--","--",
"minecraft:diamond","1..3","6.8%",
"minecraft:iron_ingot","1..5","6.8%",
"minecraft:gold_ingot","1..3","20.5%",
"minecraft:golden_sword","1","6.8%",
"minecraft:golden_chestplate","1","6.8%",
"minecraft:flint_and_steel","1","6.8%",
"minecraft:nether_wart","3..7","6.8%",
"minecraft:saddle","1","13.7%",
"minecraft:golden_horse_armor","1","11%",
"minecraft:iron_horse_armor","1","6.8%",
"minecraft:diamond_horse_armor","1","4.1%",
"minecraft:obsidian","2..4","2.7%",
,,,
"1 time","--","--",
"minecraft:end_portal_frame","1","100%",
