"Name","Count","Chance","Comment"
,,,
"1 to 3 time","--","--",
"minecraft:elytra","1","2%",
"minecraft:golden_apple","1","2%",
"minecraft:bucket","1","10%",
"minecraft:water_bucket","1","5%",
"minecraft:lava_bucket","1","5%",
"minecraft:spyglass","1","2%",
"minecraft:diamond_pickaxe","1","2%",
"minecraft:end_stone","1..4","10%",
"minecraft:budding_amethyst","1","10%",
"minecraft:brain_coral_block","1..4","1%",
"minecraft:bubble_coral_block","1..4","1%",
"minecraft:fire_coral_block","1..4","1%",
"minecraft:horn_coral_block","1..4","1%",
"minecraft:tube_coral_block","1..4","1%",
"minecraft:villager_spawn_egg","1","5%",
"minecraft:cow_spawn_egg","1","5%",
"minecraft:sheep_spawn_egg","1","2%",
"minecraft:turtle_egg","1","2%",
"minecraft:sniffer_egg","1","1%",
"minecraft:soul_sand","1..4","10%",
"minecraft:echo_shard","1..4","2%",
"minecraft:snow_block","1..4","10%",
"minecraft:sculk_catalyst","1","2%",
"minecraft:heart_of_the_sea","1","1%",
"minecraft:cobweb","1..4","2%",
"minecraft:powder_snow_bucket","1","2%",
"minecraft:pufferfish_bucket","1","2%",
"minecraft:bell","1","1%",
,,,
"1 to 3 time","--","--",
"minecraft:iron_ingot","1..4","12.9%",
"minecraft:gold_ingot","1..4","12.9%",
"minecraft:wheat_seeds","1..4","2.2%",
"minecraft:pumpkin_seeds","1","2.2%",
"minecraft:melon_seeds","1","2.2%",
"minecraft:beetroot_seeds","1","2.2%",
"minecraft:carrot","1..4","2.2%",
"minecraft:potato","1..4","2.2%",
"minecraft:brown_mushroom","1","2.2%",
"minecraft:moss_block","1","2.2%",
"minecraft:warped_nylium","1","0.43%",
"minecraft:crimson_nylium","1","0.43%",
"minecraft:mycelium","1","2.2%",
"minecraft:pointed_dripstone","1","0.43%",
"minecraft:red_mushroom","1","2.2%",
"minecraft:chorus_flower","1","2.2%",
"minecraft:rose_bush","1","0.43%",
"minecraft:sunflower","1","0.43%",
"minecraft:lilac","1","0.43%",
"minecraft:peony","1","0.43%",
"minecraft:dandelion","1","0.43%",
"minecraft:poppy","1","0.43%",
"minecraft:blue_orchid","1","0.43%",
"minecraft:allium","1","0.43%",
"minecraft:azure_bluet","1","0.43%",
"minecraft:orange_tulip","1","0.43%",
"minecraft:pink_tulip","1","0.43%",
"minecraft:red_tulip","1","0.43%",
"minecraft:white_tulip","1","0.43%",
"minecraft:oxeye_daisy","1","0.43%",
"minecraft:cornflower","1","0.43%",
"minecraft:lily_of_the_valley","1","0.43%",
"minecraft:pink_petals","1","0.43%",
"minecraft:spore_blossom","1","0.86%",
"minecraft:kelp","1","2.2%",
"minecraft:big_dripleaf","1","0.43%",
"minecraft:fern","1","2.2%",
"minecraft:large_fern","1","0.43%",
"minecraft:glow_berries","1","2.2%",
"minecraft:sweet_berries","1","2.2%",
"minecraft:oak_sapling","1..2","2.2%",
"minecraft:spruce_sapling","1..2","2.2%",
"minecraft:dark_oak_sapling","1..4","2.2%",
"minecraft:birch_sapling","1..2","2.2%",
"minecraft:mangrove_propagule","1..2","2.2%",
"minecraft:acacia_sapling","1..2","2.2%",
"minecraft:jungle_sapling","1..4","2.2%",
"minecraft:cherry_sapling","1..2","2.2%",
"minecraft:cactus","1..4","2.2%",
"minecraft:sugar_cane","2..4","2.2%",
"minecraft:nether_wart","2..4","2.2%",
"minecraft:cocoa_beans","2..4","2.2%",
"minecraft:sea_pickle","2..4","2.2%",
"minecraft:bamboo","2..4","2.2%",
"minecraft:wither_skeleton_skull","3","0.43%",
"minecraft:ender_pearl","2..4","0.86%",
,,,
"1 to 3 time","--","--",
"minecraft:air_block","1..4","7%",
"minecraft:packed_air","1","1.4%",
"minecraft:gunpowder","2..32","3.5%",
"minecraft:bone_block","1..8","7%",
"minecraft:slime_ball","8..32","7%",
"minecraft:redstone","8..32","7%",
"minecraft:glowstone_dust","1..8","3.5%",
"minecraft:lapis_lazuli","5..32","7%",
"minecraft:gold_ingot","5..16","7%",
"minecraft:diamond","1","3.5%",
"minecraft:ancient_debris","1","3.5%",
"minecraft:quartz","5..32","7%",
"minecraft:iron_ingot","5..16","7%",
"minecraft:blaze_rod","2..4","7%",
"minecraft:prismarine_shard","2..16","7%",
"minecraft:prismarine_crystals","1..8","7%",
"minecraft:nautilus_shell","1..4","1.4%",
"minecraft:spider_eye","1..3","3.5%",
"minecraft:ghast_tear","1..3","1.4%",
"minecraft:rabbit_foot","1..3","1.4%",
